Bill Date,Net Amount,day,month,year,Last Pay Mode
2019-12-31,0,31,12,2019,
2019-12-31,2150,31,12,2019,TPA
2019-12-31,500,31,12,2019,CASH
2019-12-31,0,31,12,2019,
2019-12-31,0,31,12,2019,
2019-12-31,1120,31,12,2019,CARD
2019-12-31,86,31,12,2019,CASH
2019-12-31,120,31,12,2019,CASH
2019-12-31,945,31,12,2019,CASH
2019-12-31,523,31,12,2019,CASH
2019-12-31,1580,31,12,2019,CASH
2019-12-31,100,31,12,2019,CASH
2019-12-31,849,31,12,2019,
2019-12-31,650,31,12,2019,CARD
2019-12-31,1960,31,12,2019,CARD
2019-12-31,250,31,12,2019,CARD
2019-12-31,800,31,12,2019,TPA
2019-12-31,0,31,12,2019,
2019-12-31,200,31,12,2019,CASH
2019-12-31,1550,31,12,2019,
2019-12-31,0,31,12,2019,
2019-12-31,80,31,12,2019,CARD
2019-12-31,0,31,12,2019,CASH
2019-12-31,9,31,12,2019,CASH
2019-12-31,0,31,12,2019,
2019-12-31,130,31,12,2019,CASH
2019-12-31,830,31,12,2019,
2019-12-31,850,31,12,2019,CASH
2019-12-31,188,31,12,2019,CASH
2019-12-31,850,31,12,2019,CASH
2019-12-31,0,31,12,2019,
2019-12-31,270,31,12,2019,TPA
2019-12-31,1550,31,12,2019,TPA
2019-12-31,42,31,12,2019,CASH
2019-12-31,383,31,12,2019,CASH
2019-12-31,1400,31,12,2019,
2019-12-31,430,31,12,2019,PREPAID
2019-12-31,40,31,12,2019,CASH
2019-12-31,1249,31,12,2019,PREPAID
2019-12-31,590,31,12,2019,TPA
2019-12-31,130,31,12,2019,CASH
2019-12-31,1400,31,12,2019,
2019-12-31,207,31,12,2019,CASH
2019-12-31,100,31,12,2019,FREE
2019-12-31,100,31,12,2019,FREE
2019-12-31,730,31,12,2019,CARD
2019-12-31,1650,31,12,2019,CARD
2019-12-31,9500,31,12,2019,CASH
2019-12-31,22,31,12,2019,CASH
2019-12-31,2650,31,12,2019,CASH
2019-12-31,10000,31,12,2019,CARD
2019-12-31,2672,31,12,2019,CARD
2019-12-31,1354,31,12,2019,CASH
2019-12-31,496,31,12,2019,CASH
2019-12-31,95,31,12,2019,TPA
2019-12-31,30,31,12,2019,TPA
2019-12-31,40,31,12,2019,CASH
2019-12-31,180,31,12,2019,CASH
2019-12-31,330,31,12,2019,PREPAID
2019-12-31,60,31,12,2019,PREPAID
2019-12-31,302,31,12,2019,PREPAID
2019-12-31,7,31,12,2019,CASH
2019-12-31,2480,31,12,2019,TPA
2019-12-31,1410,31,12,2019,PREPAID
2019-12-31,510,31,12,2019,CASH
2019-12-31,175,31,12,2019,CASH
2019-12-31,19,31,12,2019,
2019-12-31,830,31,12,2019,
2019-12-31,2800,31,12,2019,CARD
2019-12-31,100,31,12,2019,CASH
2019-12-31,100,31,12,2019,FREE
2019-12-31,100,31,12,2019,FREE
2019-12-31,370,31,12,2019,CARD
2019-12-31,0,31,12,2019,
2019-12-31,750,31,12,2019,CASH
2019-12-31,350,31,12,2019,PREPAID
2019-12-31,20480,31,12,2019,TPA
2019-12-31,11,31,12,2019,TPA
2019-12-31,330,31,12,2019,PREPAID
2019-12-31,28,31,12,2019,PREPAID
2019-12-31,11,31,12,2019,PREPAID
2019-12-31,22,31,12,2019,PREPAID
2019-12-31,248,31,12,2019,PREPAID
2019-12-31,49,31,12,2019,PREPAID
2019-12-31,9,31,12,2019,PREPAID
2019-12-31,73,31,12,2019,PREPAID
2019-12-31,72,31,12,2019,PREPAID
2019-12-31,30,31,12,2019,PREPAID
2019-12-31,21,31,12,2019,PREPAID
2019-12-31,41,31,12,2019,PREPAID
2019-12-31,585,31,12,2019,PREPAID
2019-12-31,10,31,12,2019,TPA
2019-12-31,1068,31,12,2019,TPA
2019-12-31,112,31,12,2019,TPA
2019-12-31,225,31,12,2019,TPA
2019-12-31,368,31,12,2019,CASH
2019-12-31,0,31,12,2019,CASH
2019-12-31,60,31,12,2019,TPA
2019-12-31,2430,31,12,2019,TPA
2019-12-31,9,31,12,2019,TPA
2019-12-31,50,31,12,2019,CASH
2019-12-31,249,31,12,2019,TPA
2019-12-31,112,31,12,2019,CASH
2019-12-31,1400,31,12,2019,CASH
2019-12-31,0,31,12,2019,CASH
2019-12-31,2449,31,12,2019,TPA
2019-12-31,1400,31,12,2019,CASH
2019-12-31,76,31,12,2019,TPA
2019-12-31,174,31,12,2019,CASH
2019-12-31,24,31,12,2019,PREPAID
2019-12-31,111,31,12,2019,PREPAID
2019-12-31,0,31,12,2019,CASH
2019-12-31,330,31,12,2019,PREPAID
2019-12-31,1550,31,12,2019,PREPAID
2019-12-31,1400,31,12,2019,
2019-12-31,680,31,12,2019,TPA
2019-12-31,750,31,12,2019,TPA
2019-12-31,1400,31,12,2019,CARD
2019-12-31,500,31,12,2019,CARD
2019-12-31,7440,31,12,2019,CARD
2019-12-31,335,31,12,2019,CASH
2019-12-31,420,31,12,2019,CASH
2019-12-31,350,31,12,2019,CASH
2019-12-31,130,31,12,2019,CASH
2019-12-31,700,31,12,2019,PREPAID
2019-12-31,1370,31,12,2019,PREPAID
2019-12-31,150,31,12,2019,CASH
2019-12-31,2480,31,12,2019,TPA
2019-12-31,150,31,12,2019,TPA
2019-12-31,2215,31,12,2019,CASH
2019-12-31,270,31,12,2019,CASH
2019-12-31,500,31,12,2019,CARD
2019-12-31,6,31,12,2019,PREPAID
2019-12-31,1723,31,12,2019,TPA
2019-12-31,60,31,12,2019,TPA
2019-12-31,1400,31,12,2019,
2019-12-31,40,31,12,2019,TPA
2019-12-31,304,31,12,2019,TPA
2019-12-31,1400,31,12,2019,CASH
2019-12-31,299,31,12,2019,CARD
2019-12-31,10,31,12,2019,CASH
2019-12-31,80,31,12,2019,CASH
2019-12-31,130,31,12,2019,CARD
2019-12-31,60,31,12,2019,CASH
2019-12-31,167,31,12,2019,CASH
2019-12-31,200,31,12,2019,CASH
2019-12-31,2119,31,12,2019,CASH
2019-12-31,369,31,12,2019,CASH
2019-12-31,822,31,12,2019,CARD
2019-12-31,7161,31,12,2019,TPA
2019-12-31,116,31,12,2019,CASH
2019-12-31,112,31,12,2019,CASH
2019-12-31,858,31,12,2019,CARD
2019-12-31,217,31,12,2019,CASH
2019-12-31,584,31,12,2019,TPA
2019-12-31,1277,31,12,2019,CASH
2019-12-31,2009,31,12,2019,CASH
2019-12-31,369,31,12,2019,CASH
2019-12-31,49,31,12,2019,TPA
2019-12-31,243,31,12,2019,TPA
2019-12-31,629,31,12,2019,CASH
2019-12-31,50,31,12,2019,TPA
2019-12-31,6,31,12,2019,TPA
2019-12-31,195,31,12,2019,TPA
2019-12-31,195,31,12,2019,TPA
2019-12-31,143,31,12,2019,CASH
2019-12-31,60,31,12,2019,PREPAID
2019-12-31,127,31,12,2019,CASH
2019-12-31,150,31,12,2019,CARD
2019-12-31,600,31,12,2019,CARD
2019-12-31,530,31,12,2019,CASH
2019-12-31,230,31,12,2019,CASH
2019-12-31,400,31,12,2019,CARD
2019-12-31,218,31,12,2019,PREPAID
2019-12-31,26,31,12,2019,CARD
2019-12-31,218,31,12,2019,CARD
2019-12-31,378,31,12,2019,PREPAID
2019-12-31,80,31,12,2019,CARD
2019-12-31,195,31,12,2019,CARD
2019-12-31,450,31,12,2019,PREPAID
2019-12-31,120,31,12,2019,PREPAID
2019-12-31,6,31,12,2019,PREPAID
2019-12-31,728,31,12,2019,PREPAID
2019-12-31,205,31,12,2019,TPA
2019-12-31,1108,31,12,2019,TPA
2019-12-31,2272,31,12,2019,CARD
2019-12-31,75,31,12,2019,TPA
2019-12-31,315,31,12,2019,TPA
2019-12-31,0,31,12,2019,CASH
2019-12-31,230,31,12,2019,CASH
2019-12-31,324,31,12,2019,CARD
2019-12-31,50,31,12,2019,CASH
2019-12-31,53,31,12,2019,CASH
2019-12-31,330,31,12,2019,CASH
2019-12-31,10,31,12,2019,CASH
2019-12-31,430,31,12,2019,CARD
2019-12-31,344,31,12,2019,TPA
2019-12-31,220,31,12,2019,CASH
2019-12-31,464,31,12,2019,CASH
2019-12-31,148,31,12,2019,CARD
2019-12-31,348,31,12,2019,CARD
2019-12-31,595,31,12,2019,CARD
2019-12-31,60,31,12,2019,TPA
2019-12-31,881,31,12,2019,TPA
2019-12-31,400,31,12,2019,CASH
2019-12-31,86,31,12,2019,TPA
2019-12-31,830,31,12,2019,CARD
2019-12-31,330,31,12,2019,CASH
2019-12-31,56,31,12,2019,TPA
2019-12-31,486,31,12,2019,TPA
2019-12-31,6,31,12,2019,TPA
2019-12-31,145,31,12,2019,TPA
2019-12-31,58,31,12,2019,TPA
2019-12-31,369,31,12,2019,CARD
2019-12-31,415,31,12,2019,TPA
2019-12-31,16,31,12,2019,TPA
2019-12-31,252,31,12,2019,TPA
2019-12-31,50,31,12,2019,CASH
2019-12-31,35,31,12,2019,TPA
2019-12-31,2092,31,12,2019,CARD
2019-12-31,16,31,12,2019,PREPAID
2019-12-31,60,31,12,2019,PREPAID
2019-12-31,15,31,12,2019,PREPAID
2019-12-31,244,31,12,2019,PREPAID
2019-12-31,700,31,12,2019,CASH
