Bill Date,Net Amount
2019-10-11,766941.0
2019-10-12,710332.0
2019-10-13,246949.0
2019-10-14,796754.0
2019-10-15,669380.0
2019-10-16,569524.0
2019-10-17,978962.0
2019-10-18,859932.0
2019-10-19,971426.0
2019-10-20,149415.0
2019-10-21,827021.0
2019-10-22,633845.0
2019-10-23,656169.0
2019-10-24,606015.0
2019-10-25,1031381.0
2019-10-26,1174696.0
2019-10-27,172930.0
2019-10-28,403974.0
2019-10-29,383604.0
2019-10-30,423904.0
2019-10-31,568402.0
2019-11-01,394425.0
2019-11-02,525367.0
2019-11-03,277355.0
2019-11-04,537831.0
2019-11-05,633756.0
2019-11-06,609354.0
2019-11-07,541345.0
2019-11-08,568177.0
2019-11-09,1103054.0
2019-11-10,171900.0
2019-11-11,724952.0
2019-11-12,739475.0
2019-11-13,646986.0
2019-11-14,511714.0
2019-11-15,1204691.0
2019-11-16,822618.0
2019-11-17,230858.0
2019-11-18,565616.0
2019-11-19,643321.0
2019-11-20,814299.0
2019-11-21,646108.0
2019-11-22,838453.0
2019-11-23,890478.0
2019-11-24,224716.0
2019-11-25,665835.0
2019-11-26,550418.0
2019-11-27,625518.0
2019-11-28,542867.0
2019-11-29,947905.0
2019-11-30,470537.0
2019-12-01,211895.0
2019-12-02,721677.0
2019-12-03,694296.0
2019-12-04,827217.0
2019-12-05,1400343.0
2019-12-06,618024.0
2019-12-07,650742.0
2019-12-08,269959.0
2019-12-09,460651.0
2019-12-10,490190.0
2019-12-11,585670.0
2019-12-12,798134.0
2019-12-13,909753.0
2019-12-14,782183.0
2019-12-15,227568.0
2019-12-16,865004.0
2019-12-17,580008.0
2019-12-18,1042167.0
2019-12-19,656925.0
2019-12-20,641783.0
2019-12-21,872867.0
2019-12-22,179292.0
2019-12-23,723474.0
2019-12-24,1066958.0
2019-12-25,320536.0
2019-12-26,760002.0
2019-12-27,760155.0
2019-12-28,680858.0
2019-12-29,124082.0
2019-12-30,908637.0
2019-12-31,392656.0
